오디션 명,기획사 명,시작 나이,끝 나이,분야,성별,접수 마감일,상세정보,URL,
JYP Entertainment 2022 센터오디션(11월),JYP 엔터테인먼트,0,0,-,모두,2022-11-14,"JYP Entertainment 2022 센터오디션 11월 일정 안내
?
안녕하세요, JYP엔터테인먼트 캐스팅팀입니다.
2022년 11월 센터오디션 일정을 아래와 같이 안내 드립니다.

<2022년 11월 6일 센터오디션>
오디션 일자 : 2022년 11월 6일 (일요일)
오디션 시간 :
- 국내 PM 12:00, 13:00, 14:00, 15:00, 16:00
- 해외 PM 13:00, 14:00, 15:00, 16:00
접수 페이지 오픈 : 2022년 10월 31일 (월요일) PM 1:00 ~

<2022년 11월 20일 센터오디션>
오디션 일자 : 2022년 11월 20일 (일요일)
오디션 시간 :
- 국내 PM 12:00, 13:00, 14:00, 15:00, 16:00
- 해외 PM 13:00, 14:00, 15:00, 16:00
접수 페이지 오픈 : 2022년 11월 14일 (월요일) PM 1:00 ~
?
오디션 접수 마감이 빠를 수 있으며, 마감 후엔 지원이 불가능 하니 참고 바랍니다. 감사합니다.
?
JYP Entertainment 2022 Monthly Audition November Schedule
?
Hello, this is JYP Entertainment Casting Team.
The schedule for November JYP Monthly Audition is as follows:
?
<JYP Monthly Audition on November 6th, 2022>
Audition Date : November 6th, 2022 (SUN)
Audition Time :
- Koreans PM 12:00, 13:00, 14:00, 15:00, 16:00 (KST)
- Non-Koreans PM 13:00, 14:00, 15:00, 16:00 (KST)
Registration Page Open : October 31st, 2022 (MON) PM 1:00 ~ (KST)
?
<JYP Monthly Audition on November 20th, 2022>
Audition Date : November 20th, 2022 (SUN)
Audition Time :
- Koreans PM 12:00, 13:00, 14:00, 15:00, 16:00 (KST)
- Non-Koreans PM 13:00, 14:00, 15:00, 16:00 (KST)
Registration Page Open : November 14th, 2022 (MON) PM 1:00 ~ (KST)
?
Limited spots for the audition may fill up very fast once the audition page opens. Be aware that you will no longer be able to apply once it is filled. Thank you.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=5&document_srl=476891,59
2022 스타쉽 공개 오디션,스타쉽엔터테인먼트,2004,2011,"보컬,랩,댄스,연기",모두,2022-11-09," 
2022 스타쉽 공개오디션 1차 사전접수
2022 스타쉽 공개 오디션 1차 사전접수입니다.

<오디션 날짜 / 장소>
- 11/19 (토) / 스타쉽엔터테인먼트 사옥

<사전 접수 기간>
- 10/19(수) ~ 11/9(수)

<지원 대상>
- 2004년 ~ 2011년 사이 출생자 / 성별, 국적 무관

<오디션 절차>
1차 구글폼 사전 접수 -> 2차 현장 오디션 -> 추후 개별 연락

<지원 분야>
보컬/랩/댄스/연기 중 택 1


*사전 접수 합격자에 한해 기재하신 이메일로 현장 오디션 관련 안내를 보내드릴 예정입니다.
이메일 전송 후 스타쉽 오디션 SNS 계정을 통해 공지를 띄울 예정이니 수시 확인 부탁드립니다.

*최종 지원 완료 후 수정이 불가하오니, 지원서 작성 시 참고 부탁드립니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=5&document_srl=476589,60
블록베리크리에이티브 Halloween Audition,블록베리크리에이티브,2001,0,-,모두,2002-10-31,"Halloween Audition
인스타그램 할로윈 필터 오디션

- 지원 기간 : 2022. 10. 18 ~ 10. 31
- 지원 자격 : 2001년 이후 출생자 (성별, 국적 무관)
- 지원 방법
(1) 블록베리크리에이티브 신인개발팀 인스타그램 팔로우 후 ‘효과 페이지’ 선택
(2) 할로윈 필터 선택 후 ‘사용해보기’
(3) ‘얼굴 정면’ 사진 촬영 후 DM으로 사진을 보내주세요.
(4) [이름/생년월일/키&몸무게/연락처, SNS ID]를 함께 보내주세요.

*유의사항*
과한 보정이 적용된 파일은 심사 대상에서 제외됩니다.
합격자에 한하여 개별 연락 드립니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=5&document_srl=476282,61
FNC 엔터테인먼트 2022년 10월 공개 오디션,FNC 엔터테인먼트,"200,319,981,994",0,"보컬,랩,댄스,연기,기타",모두,2022-10-23," 2022년 10월 공개 오디션 안내

안녕하세요. FNC엔터테인먼트 캐스팅팀입니다.
공개 오디션 및 일정을 안내드립니다.
10월 진행되는 공개 오디션은 '코로나19 예방 수칙에 의거하여 진행될 예정입니다.
※ 마스크 미 착용 시 출입 및 오디션 진행 불가

1. 공정한 참여 기회를 위해 공개 오디션 참가 후 6개월 이내 공개 오디션 재접수가 불가능합니다.
2. 신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.
3. 코로나 19 예방 수칙에 의거하여 진행될 예정입니다.

■ 지원분야
보컬, 랩, 피아노, 드럼, 기타, 베이스, 연기, 비주얼, 댄스

■ 지원 자격
① 가수파트 : 03년생 이후 출생자
② 연기파트 : 98년생 이후 출생자
③ 악기연주 파트 : 94년생 이후 출생자
→지원 자격에 적합하신 분에 한해서 국적, 성별, 학력 제한은 없습니다.

■ 10월 공개 오디션 일정
2022년 10월 23일 (일)

■ 진행장소
서울특별시 강남구 도산대로 511 1층에서 대기

■ 접수 방법 및 시간
현장 접수 (당일 오전 11시 ~ 오후 2시까지)
*공개 오디션 참가 후 6개월 이내 공개오디션 재접수가 불가능합니다.
*신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.?
*오디션 당일 고열(37.3도 이상) 혹은 마스크 미착용 시 참가 불가능합니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=5&document_srl=475869,62
2022 Kakao Entertainment Friends Global Online Audition in ASIA,Kakao 엔터테인먼트,0,0,"보컬,랩,댄스",모두,2022-10-31,"카카오엔터테인먼트 아시아 지역 글로벌 오디션

▶ 지원 대상 | 성별, 나이, 국적 무관

▶ 지원 기간 | 2022년 10월 01일(토) ~ 10월 31일(월)

▶ 분야 및 준비사항 | 보컬, 랩, 댄스 중 택1 (최대 2개 분야 중복지원 가능)
- 보컬/랩 : 자유곡 (무반주, 악기 연주 가능)
- 댄스 : 자유곡 (커버/창작/즉흥 댄스 모두 가능)

▶ 지원 방법 | 카카오엔터테인먼트 홈페이지 내 오디션 지원 (audition.kakaoent.com)
Step 1) 홈페이지 화면 중간 ‘오디션 지원하기’ 클릭
Sterp 2) 지원 오디션 항목 ‘글로벌 오디션’ 선택 후 나머지 항목 기입
Step 3) 본인 이미지 3장 이상 및 지원분야 영상 1개 이상 업로드
Step 4) 개인정보 수집 및 이용 동의 카테고리 선택 후 동의

▶2차 오디션 | 1차 합격자에 한해 별도 2차 오디션 진행, 합격자 개별 통보 예정

▶ 문의 | 카카오엔터테인먼트 프렌즈 공식 SNS 채널
- Facebook: www.facebook.com/kakaoentertainmentfriends
- Instagram: www.instagram.com/kakaoent_friends_audition
- Twitter : twitter.com/KakaoEntFriends





[2022 Kakao Entertainment Friends Global Online Audition in ASIA]

Kakao Entertainment Asia global audition starts now!

Applicant conditions: Open to all ages, all genders and all nationalities

Application Period: Oct 1st 2022(Sat) ? Oct 31st 2022(Mon)

Audition genres and preparation material (applicants may choose up to 2 genres at one time)
Vocal/Rap: Any song you want (Vocal acapella or Instrument accompaniments accepted)
Dance: Any song you want (cover/original/freestyle all accepted)

Application Process
Apply to audition through the Kakao Entertainment homepage (audition.kakaoent.com)
Step 1) Enter the Kakao Entertainment Homepage, Click the icon on the top right of the screen, select ""ENG""
STEP 2) On the center of the screen click ""apply now""
Step 3) Select “global audition” from the options and continue to complete the application
Step 4) Upload at least 3 images of yourself and at least 1 video in the audition genre of your choosing
Step 5) Review the Privacy Policy and click to check the boxes on the bottom

2nd round auditions
For those who have been accepted through the 1st round, a 2nd round audition will take place. Those who have made the 1st round cuts will be contacted separately

Questions : For any questions please use one of the official Kakao Entertainment SNS channels",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=474224,63
울림엔터테인먼트 10월 DM 할로윈 파티 오디션,울림엔터테인먼트,0,0,-,모두,2022-10-31,"안녕하세요.
울림엔터테인먼트 신인개발팀 입니다.
울림 보이즈 N 걸스를 찾는 인스타그램
10월 DM ""할로윈 파티"" 오디션을 진행합니다.

[ 지원 방법 ]
 울림 신인개발팀 ( @woollimaudition ) 계정을 팔로우!!!
 할로윈 컨셉에 맞는 영상을 틱톡으로 촬영 후 본인 틱톡 계정에 영상 업로드
 울림 신인개발팀 ( @woollimaudition ) DM : 틱톡ID , 이름 , 나이 , 키 , 체중 , 연락처 , 사는곳 발송
 합격자에 한 해 1주 이내로 개별 연락 후 회사 오디션 진행
 최종 합격자에게는 울림엔터테인먼트 연습생 계약 및 트레이닝 기회 제공

[ 지원 기간 ]
※2022.10.03 - 2022.10.31

[ 주의 사항 ]
※ 마스크 착용으로 된 영상은 심사에서 제외됩니다.
※ 얼굴이 뚜렷하게 영상 촬영 부탁드립니다.
※ 할로윈 컨셉에 영상으로 촬영 부탁드립니다.

[ 문의 ]
? audition@woolliment.com

여러분들의 많은 관심과 참여 바랍니다",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=474222,64
2022 P NATION 10월 센터 오디션,P NATION,2003,2012,"보컬,랩,연기",모두,2022-10-10,"2022 P NATION 10월 센터 오디션 

코로나 19 방역 수칙을 준수하기 위하여 사전 접수로만 진행됩니다. 
그로 인해 당일 현장 접수는 받지 않으며, 마감 기한 내 사전 접수를 하지 않은 분들은 
오디션 진행이 어려운 점 미리 양해 부탁드립니다.

1.   지원 분야
* 보컬, 랩, 연기 (한 가지 분야만 선택 가능)
* 댄스는 현장에서 자유롭게 지원 가능
(현장에서 랜덤으로 나오는 음악에 맞춰 1분 내 Free Dance로 진행)

2.   지원 대상
* 국적, 성별 무관 / 2003년생 ~ 2012년생 

3.   사전 접수
* 일정: 10월 1일 오후 1시부터 10월 10일 오후 6시까지 접수 가능 (선착순 200명)  
* 방법:
1)   오른쪽 하단에 있는 QR코드
2)   접수 완료된 지원자에게는 개별 이메일로 오디션 참가 번호와 시간, 장소 안내

4.   오디션 일정
* 10월 16일 일요일
(센터 오디션은 매월 둘째 주 일요일에 진행 예정이나,
이번 달은 한글날로 인하여 셋째 주 일요일에 진행되는 점 확인 바랍니다.)

5.   오디션 당일 준비 사항
* 보컬 / 랩 : 1분 내 자유 곡 (무반주로 진행, 악기 사용 금지) 
* 연기: 동선이 없는 자유 연기 1분 내 (소품 사용 금지) 

6.   오디션 공지 및 문의
* 이메일: audition@pnation.com
* 카카오톡 채널: pnationaudition",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=474220,65
2022 빅히트 뮤직 오디션 in KOREA,BIGHIT MUSIC,2005,2011,"보컬,랩,댄스",남자,2022-11-27,"2022 빅히트 뮤직 오디션 in KOREA
2022 빅히트 뮤직 오디션 in KOREA가 개최됩니다.
대구 부산 제주 대전 광주 전주 원주 서울 총 8개 지역에서 진행되는 오디션의 자세한 안내는 아래 내용을 확인해 주세요.

지원 자격
2011년(12세) - 2005년(18세) 남자

지원 부문
가수로서의 잠재력을 보여줄 수 있는 모든 분야

지원 방법
사전접수 없이 각 지역별 현장 접수

시간 및 장소
대구 : 2022.10.08 (토) 오후 1시 수성구청소년문화의집
부산 : 2022.10.15 (토) 오후 1시 수영구청소년문화의집
제주 : 2022.10.22 (토) 오후 1시 용담다목적생활문화센터
대전 : 2022.10.29 (토) 오후 1시 대전청소년위캔센터
광주 : 2022.11.05 (토) 오후 1시 서구청소년문화의집
전주 : 2022.11.12 (토) 오후 1시 전주야호청소년센터
원주 : 2022.11.20 (일) 오후 1시 원주청소년문화의집
서울 : 2022.11.27 (일) 오후 1시 구립서초유스센터

안내 사항
COVID - 19 상황에 따라 취소 및 변경될 수 있습니다.
COVID - 19 감염 예방을 위하여 지원자분들은 마스크를 필수로 착용해 주세요.

상세 내용
홈페이지 : https://www.bighitaudition.com
/
페이스북 : Bighit Music Audition",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=473630,66
YG 카카오채널 9~10월 오디션,YG 엔터테인먼트,2004,2016,"보컬,랩,댄스",모두,2022-10-31,"YG 카카오채널 9~10월 오디션
?
'전국 초,중,고 동아리' 특집
?
1. 지원기간 : 9/28(수)~10/31(월)
?
2. 지원자격 : 2004년~2012년 출생 남녀 중 현재 교내/외 보컬, 댄스, 랩 동아리 활동을 하고 있거나 활동을 해 본 경험이 있는 자
?
3. 지원방법?
1) 카카오톡에서 'YG오디션' 검색 후 친구 맺기 (★)
2) 'YG오디션' 채널 내 채팅하기 클릭, 지원내용 전송
?
4. 지원내용?
1) 소속된 동아리 및 팀 소개 영상, 동아리 활동 및 연습 영상
(개인 or 팀으로 지원 가능 / 외부, 연합 동아리 지원 가능)?
2) 지원 시, 이름 / 생년월일 / 신장 / 체중 / 연락처 필수 기재
* 지원자 전원 얼굴이 잘 보일 수 있도록 정면 촬영 요망
?
5. 합격자 발표 : 11월 초, 합격자에 한해 개별 연락",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=473626,67
뉴진스 소속사 ADOR 2022 Global Audition,ADOR,2003,2011,"보컬,랩,댄스,연기,모델,작사·작곡·프로듀서,기타",모두,2022-10-19,"2022 ADOR Global Audition

? 지원 자격
2003년 ~ 2011년 출생자
성별, 국적 제한 없음

? 접수 기간
2022년 9월 19일 12PM (KST) ~ 2022년 10월 19일 12PM (KST)

? 지원 방법
Step 1.
어도어 홈페이지 또는 하단 링크에서 접수
https://docs.google.com/forms/d/1oFLbDA3BwbnnDOyjL2JdYEIF2hP7z8h0jUpNtDLLVvs/viewform?edit_requested=true
Step 2.
지원서 작성 및 첨부파일 (영상/사진) 접수
Step 3.
지원 완료

? 합격 통보
합격자에 한하여 오디션 접수 시 기재된 연락처로 개별 통보 드립니다.

? 지원 분야
보컬/랩
자기소개 영상 + 상반신이 보이는 무반주 보컬/랩 영상 1개 + 본인 정면 얼굴/전신 사진 2개

춤
자기소개 영상 + 전신이 보이는 춤 영상 1개 + 본인 정면 얼굴/전신 사진 2개

자유 형식 (연기 / 모델 / 악기 연주 / Vlog 등)
자기소개 영상 + 상반신이 보이는 자유 형식 영상 1개 + 본인 정면 얼굴/전신 사진 2개

? 유의사항
오디션 지원 시 2가지 (영상/사진) 첨부 파일을 모두 제출해주세요.
자기소개 영상은 본인의 얼굴이 정면에서 정확하게 확인되는 상반신 촬영 영상을 제출해주세요.
본인 얼굴/전신 정면 사진은 포토샵과 필터를 사용하지 않은 사진을 제출해주세요.
지원 분야 별 영상은 1분 이상 분량으로 필수 제출이며 포커스가 맞지 않거나 음질이 좋지 않은 영상은 심사에서 제외될 수 있습니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=471928,68
JYP Entertainment 2022 센터오디션 10월,JYP 엔터테인먼트,0,0,-,모두,2022-10-11,"JYP Entertainment 2022 센터오디션 10월 일정 안내
안녕하세요, JYP엔터테인먼트 캐스팅팀입니다.
2022년 10월 센터오디션 일정을 아래와 같이 안내 드립니다.

2022년 10월 2일 센터오디션
오디션 일자 : 2022년 10월 2일 (일요일)
오디션 시간 :
- 국내 PM 12:00, 13:00, 14:00, 15:00, 16:00
- 해외 PM 13:00, 14:00, 15:00, 16:00
접수 페이지 오픈 : 2022년 9월 26일 (월요일) PM 1:00 ~

2022년 10월 16일 센터오디션
오디션 일자 : 2022년 10월 16일 (일요일)
오디션 시간 :
- 국내 PM 12:00, 13:00, 14:00, 15:00, 16:00
- 해외 PM 13:00, 14:00, 15:00, 16:00
접수 페이지 오픈 : 2022년 10월 11일 (화요일) PM 1:00 ~

오디션 접수 마감이 빠를 수 있으며, 마감 후엔 지원이 불가능 하니 참고 바랍니다. 감사합니다.



JYP Entertainment 2022 Monthly Audition October Schedule
Hello, this is JYP Entertainment Casting Team.
The schedule for September JYP Monthly Audition is as follows:

JYP Monthly Audition on October 2nd, 2022
Audition Date : October 2nd, 2022 (SUN)
Audition Time :
- Koreans PM 12:00, 13:00, 14:00, 15:00, 16:00 (KST)
- Non-Koreans PM 13:00, 14:00, 15:00, 16:00 (KST)
Registration Page Open : September 26th, 2022 (MON) PM 1:00 ~ (KST)

JYP Monthly Audition on October 16th, 2022
Audition Date : October 16th, 2022 (SUN)
Audition Time :
- Koreans PM 12:00, 13:00, 14:00, 15:00, 16:00 (KST)
- Non-Koreans PM 13:00, 14:00, 15:00, 16:00 (KST)
Registration Page Open : October 11th, 2022 (TUE) PM 1:00 ~ (KST)

Limited spots for the audition may fill up very fast once the audition page opens. Be aware that you will no longer be able to apply once it is filled. Thank you.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=471919,69
위에화 엔터테인먼트 Visual-LOG AUDITION,위에화 엔터테인먼트,2004,2009,제한없음,모두,2022-10-24,"[VLOG] Visual-LOG AUDITION
여러분의 개성을 Vlog로 마음껏 뽐내보세요! 

1. 지원 기간
- 2022년 09월 19일 (월) ~ 2022년 10월 24일 (월)

2. 지원 자격
- 2009년생 ~ 2004년생 (성별, 국적 무관)

3. 지원 방법
- 나를 보여줄 수 있는 영상을 자유롭게 촬영, 편집 후 유튜브 업로드(일부 공개)
- QR 또는 프로필 링크를 통해 지원서 작성
* 합격자에 한해 2주 내 개별 연락

4. 영상 촬영 TIP
- 영상 길이 3분 이상~10분 이내
- 마스크 착용 일부 가능, 얼굴 전체 노출 2분 이상 필수
- 영상 주제 자유롭게 선정 가능(춤, 노래, 요리, 일상, 여행 등)
* 영상 편집 실력은 결과에 영향을 미치지 않습니다.

추가 문의 카카오톡 YHaudition",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=471913,70
SM 4-CUT AUDITION : SHOW YOURSELF!,SM 엔터테인먼트,0,0,-,모두,2022-09-30,"SM 4-CUT AUDITION
SHOW YOURSELF!

네 컷으로 지원하는
SM 4-CUT AUDITION

? WHO
SM AUDITION에 지원하고 싶은 누구나

? WHEN
2022년 9월 8일 ~ 2022년 9월 30일

? WHERE
전국 PHOTO DRINK 매장 전신 부스 (제주 지점 제외)

? HOW
1차 : SM 4-CUT AUDITION FRAME 촬영 -> QR 코드 인식 -> 지원서 작성 -> 접수 완료
2차 : 오프라인 비공개 오디션

? REWARDS
SM ENTERTAINMENT 트레이닝 기회 부여

TUTORIAL 영상을 미리 확인하고 촬영하면 오디션 합격률 ↑
https://www.instagram.com/p/CiOnA6CAzv3/


여러분의 많은 관심과 참여 부탁드립니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=470398,71
FNC엔터테인먼트 2022년 9월 공개 오디션,FNC 엔터테인먼트,"200,319,981,994",0,"보컬,랩,댄스,연기,기타",모두,2022-09-25,"2022년 9월 공개 오디션 안내

안녕하세요. FNC엔터테인먼트 캐스팅팀입니다.
9월 25일 공개 오디션 및 일정을 안내드립니다.

9월 진행되는 공개 오디션은 '코로나19 예방 수칙에 의거하여 진행될 예정입니다.
※ 마스크 미 착용 시 출입 및 오디션 진행 불가
1. 공정한 참여 기회를 위해 공개 오디션 참가 후 6개월 이내 공개 오디션 재접수가 불가능합니다.
2. 신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.
3. 코로나 19 예방 수칙에 의거하여 진행될 예정입니다.

■ 지원분야
보컬, 랩, 피아노, 드럼, 기타, 베이스, 연기, 비주얼, 댄스

■ 지원 자격
① 가수파트 : 03년생 이후 출생자
② 연기파트 : 98년생 이후 출생자
③ 악기연주 파트 : 94년생 이후 출생자
→지원 자격에 적합하신 분에 한해서 국적, 성별, 학력 제한은 없습니다.

■ 9월 공개 오디션 일정
2022년 9월 25일 (일)

■ 진행장소
FNC엔터테인먼트(서울시 강남구 청담동 111)

■ 접수 방법 및 시간
현장 접수 (당일 오전 11시 ~ 오후 2시까지)
*공개 오디션 참가 후 6개월 이내 공개오디션 재접수가 불가능합니다.
*신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.?
*오디션 당일 고열(37.3도 이상) 혹은 마스크 미착용 시 참가 불가능합니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=470292,72
YG DM AUDITION #14 (여자),YG 엔터테인먼트,2003,2012,"보컬,랩,댄스",여자,2022-09-30,"[YG AUDITION] YG DM AUDITION #14
?
[모집기간]
2022년 9월 1일 (목) - 9월 30일 (금)
?
[모집대상]
2003년 - 2012년생 여자
?
[모집분야]
보컬, 랩, 댄스
?
[접수방법]
인스타그램 DM 접수
* 메시지 내 이름, 생년월일, 신장, 몸무게, 연락처 기재
*보컬,랩,댄스 중 한 가지 분야 선택하여 30초 분량의 영상 전송
* 보컬,랩 지원 시 상반신 / 댄스 지원 시 전신 촬영
?

?
[Application Period]
September 1st(Thu) - September 30th(Fri), 2022
?
[Qualification]
Any female born between 2003 - 2012
?
[Category]
Vocal, Rap, Dance
?
[How to apply]
Apply through Instagram DM
*Include the name, date of birth, height, weight, and contact on DM
*Select one from a vocal, rap or dance and send a video within 30 seconds
*Required to show upper-body for vocal or rap / Full-body for dance",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=469491,73
2022 P NATION 9월 센터 오디션,P NATION,2003,2012,"보컬,랩,댄스,연기",모두,2022-09-10,"2022 P NATION 9월 센터 오디션

* 코로나 19 방역 수칙을 준수하기 위하여 사전 접수로만 진행됩니다. 
그로 인해 당일 현장 접수는 받지 않으며, 마감 기한 내 사전 접수를 하지 않은 분들은 오디션 진행이 어려운 점 미리 양해 부탁드립니다.

1. 지원 분야
- 보컬, 랩, 연기 (한 가지 분야만 선택 가능)
- 댄스는 현장에서 자유롭게 지원 가능 (현장에서 랜덤으로 나오는 음악에 맞춰 1분 내 Free Dance로 진행)

2. 지원 대상
국적, 성별 무관 / 2003년생 ~ 2012년생

3. 사전 접수
- 일정: 9월 1일 오후 1시부터 9월 10일 오후 6시까지 접수 가능 (선착순 200명)
- 방법:
1) 페이지 마지막 장에 있는 QR코드로 접수
2) 접수 완료된 지원자에게는 개별 이메일로 오디션 참가 번호와 시간, 장소 안내

4. 오디션 일정
- 9월 18일 일요일
* 센터 오디션은 매월 둘째 주 일요일에 진행 예정이나, 이번 달은 추석 연휴로 인하여 셋째 주 일요일에 진행되는 점 확인 바랍니다.

5. 오디션 당일 준비 사항
- 보컬 / 랩 : 1분 내 자유 곡 (무반주로 진행, 악기 사용 금지)
- 연기: 동선이 없는 자유 연기 1분 내 (소품 사용 금지)

6. 오디션 공지 및 문의
- 이메일: audition@pnation.com
- 카카오톡 채널: pnationaudition


_____________________________________

[온라인 오디션 (E-Mail 오디션) 지원 방법]
?
- 지원 분야 : 보컬, 랩, 댄스, 연기, 음악 프로듀싱
- 지원 대상 : 나이, 국적, 성별 무관
- 지원 방법 : https://www.pnation.com/audition
에서 오디션 지원서 다운로드 후 작성 (지원서 다운로드가 어려운 경우 간단한 자기소개 작성도 가능) 하여 1~3분 분량의 보컬, 랩, 댄스, 연기 영상 / 음원과 함께 audition@pnation.com 로 전송
- 지원 시간 : 상시 지원 가능
- 결과 발표 : 합격자에 한해 개별 연락 예정",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=6&document_srl=469436,74
